Lcom/mglab/scm/api/AlarmBroadcastReceiver;,onReceive,(Landroid/content/Context; Landroid/content/Intent;)V
Lcom/mglab/scm/api/BootBroadcastReceiver;,onReceive,(Landroid/content/Context; Landroid/content/Intent;)V
Lcom/mglab/scm/telephony/CallScreeningServiceImpl;,onScreenCall,(Landroid/telecom/Call$Details;)V
Lcom/mglab/scm/telephony/PhoneCallReceiver;,onReceive,(Landroid/content/Context; Landroid/content/Intent;)V
Lcom/mglab/scm/visual/MGNotification$notificationButtonListener;,onReceive,(Landroid/content/Context; Landroid/content/Intent;)V
